Vin, Vout_RC1, Vout_RC01, Vout_RC001
1.000000000000000000e+00, -3.379033610137882615e-01, 1.942559466982873018e-01, -4.687631031931429604e-01
1.000000000000000000e+00, -2.216405212928999613e-01, 6.753735321700407024e-01, -2.245855187202519809e-01
1.000000000000000000e+00, -1.154808392859634769e-01, 8.692111324772890946e-01, -2.100174737385791107e-02
1.000000000000000000e+00, -1.854635611838399006e-02, 9.473064257054770732e-01, 1.487368156073923531e-01
1.000000000000000000e+00, 6.996458975077247955e-02, 9.787702667487324648e-01, 2.902568393273665115e-01
1.000000000000000000e+00, 1.507839907323204887e-01, 9.914467450217305799e-01, 4.082495635131845879e-01
1.000000000000000000e+00, 2.245802601935885101e-01, 9.965539755112976517e-01, 5.066263457329610587e-01
1.000000000000000000e+00, 2.919636882517065990e-01, 9.986116320205968844e-01, 5.886482756390537530e-01
1.000000000000000000e+00, 3.534915397294841055e-01, 9.994406410302159038e-01, 6.570342991154798362e-01
1.000000000000000000e+00, 4.096726625893425400e-01, 9.997746399918272520e-01, 7.140513451161574210e-01
-1.000000000000000000e+00, 4.609716738122757174e-01, 9.999092029249023739e-01, 7.615894666459570583e-01
-1.000000000000000000e+00, 3.340142818234930200e-01, -1.942559461756856731e-01, 4.687304185045235716e-01
-1.000000000000000000e+00, 2.180893964568363652e-01, -6.753735328616159439e-01, 2.245582918766093061e-01
-1.000000000000000000e+00, 1.122383014754365915e-01, -8.692111325115440268e-01, 2.097906078224509585e-02
-1.000000000000000000e+00, 1.558559597367499550e-02, -9.473064269774771340e-01, -1.487557372025030133e-01
-1.000000000000000000e+00, -7.266807000950768758e-02, -9.787702668891009594e-01, -2.902726176433473859e-01
-1.000000000000000000e+00, -1.532525564549503949e-01, -9.914467451926649577e-01, -4.082627257620904393e-01
-1.000000000000000000e+00, -2.268343036066448604e-01, -9.965539760325616836e-01, -5.066373227003843072e-01
-1.000000000000000000e+00, -2.940218498824835325e-01, -9.986116321188915901e-01, -5.886574357445548689e-01
-1.000000000000000000e+00, -3.553708463048497745e-01, -9.994406407102178758e-01, -6.570419423775513135e-01
-1.000000000000000000e+00, -4.113886587673398765e-01, -9.997746409853146554e-01, -7.140577222143625891e-01
1.000000000000000000e+00, -4.625385302325663028e-01, -9.999092019504517426e-01, -7.615947529024200691e-01
1.000000000000000000e+00, -3.354449975371283088e-01, 1.942559018854885244e-01, -4.687347668228598052e-01
1.000000000000000000e+00, -2.193957886897078824e-01, 6.753735173237654932e-01, -2.245618983899418941e-01
1.000000000000000000e+00, -1.134311716994604174e-01, 8.692111317363346856e-01, -2.098204991914628947e-02
1.000000000000000000e+00, -1.667480329942609349e-02, 9.473064280299451356e-01, 1.487532389773777997e-01
1.000000000000000000e+00, 7.167350671755139124e-02, 9.787702673288924959e-01, 2.902705314035448070e-01
1.000000000000000000e+00, 1.523444034153351168e-01, 9.914467452100674816e-01, 4.082609826247303175e-01
1.000000000000000000e+00, 2.260050799307010139e-01, 9.965539760149401127e-01, 5.066358655109151066e-01
1.000000000000000000e+00, 2.932646892817900586e-01, 9.986116324215270623e-01, 5.886562126239838211e-01
1.000000000000000000e+00, 3.546794825936064322e-01, 9.994406412784941907e-01, 6.570409168045847625e-01
1.000000000000000000e+00, 4.107573741847423965e-01, 9.997746400937750355e-01, 7.140568632789380255e-01
-1.000000000000000000e+00, 4.619621365356390008e-01, 9.999092026408127332e-01, 7.615940627175536992e-01
-1.000000000000000000e+00, 3.349186801281659465e-01, -1.942558927385559797e-01, 4.687341975180245313e-01
-1.000000000000000000e+00, 2.189152041463380272e-01, -6.753735078966039973e-01, 2.245614199103036501e-01
-1.000000000000000000e+00, 1.129923452817973989e-01, -8.692111426602695534e-01, 2.098165349628779153e-02
-1.000000000000000000e+00, 1.627410517986602190e-02, -9.473064283575129974e-01, -1.487535692414851396e-01
-1.000000000000000000e+00, -7.203938761883034447e-02, -9.787702677081983049e-01, -2.902708083042797038e-01
-1.000000000000000000e+00, -1.526785010880657156e-01, -9.914467453490519722e-01, -4.082612115687208609e-01
-1.000000000000000000e+00, -2.263101332727245341e-01, -9.965539752600545143e-01, -5.066360563164099551e-01
-1.000000000000000000e+00, -2.935432292732801374e-01, -9.986116323856528698e-01, -5.886563719280247797e-01
-1.000000000000000000e+00, -3.549338194274030966e-01, -9.994406412103693516e-01, -6.570410494689031822e-01
-1.000000000000000000e+00, -4.109896092970954928e-01, -9.997746399759945835e-01, -7.140569738126517629e-01
1.000000000000000000e+00, -4.621741848721891976e-01, -9.999092002255748346e-01, -7.615941555751425396e-01
