E0,n_iter,sigma_n_iter,depth,sigma_depth,tot_ion,sigma_tot_ion
1000.0,18.35,2.4098755154571783,16.331500000000002,2.1447892087568885,860.6215758462528,17.443072233552634
2000.0,21.53,2.479737889374601,19.1617,2.2069667215433952,1715.041475897801,23.816005944377928
3000.0,22.44,2.589671793876591,19.971600000000002,2.3048078965501664,2478.681905466429,37.51827976655964
4000.0,24.57,2.9874905857592253,21.8673,2.6588666213257106,3436.8411655217105,36.99844122267396
5000.0,25.53,2.9680128032068867,22.721700000000002,2.641531394854129,4233.09982458074,34.38831095632241
6000.0,26.0,2.939387691339814,23.14,2.6160550452924345,4957.93552578734,43.45529713803525
7000.0,27.05,2.797766966707556,24.0745,2.4900126003697247,5968.635502957189,50.754164990219984
8000.0,27.8,2.894822965226026,24.742,2.5763924390511628,6876.127464014321,45.98180223027819
9000.0,27.49,2.605743655849516,24.466099999999997,2.3191118537060693,7768.800320341821,45.435712464265144
10000.0,28.5,3.2603680773802215,25.365000000000002,2.9017275888683973,8479.975389643878,50.45624855985429
