E0,n_iter,sigma_n_iter,depth,sigma_depth,tot_ion,sigma_tot_ion
1000.0,63.76,11.944136636860781,14.1866,2.657570401701524,922.3067520079545,8.984347587540942
2000.0,76.23,11.405134808497444,16.961175,2.5376424948906813,1846.550882024919,14.558836796105975
3000.0,80.02,9.757028236097302,17.80445,2.1709387825316497,2764.068281117571,14.982443716789437
4000.0,86.47,12.467120758218394,19.239575,2.7739343687035927,3692.931412736044,19.42422998787756
5000.0,88.91,9.840828217177659,19.782474999999998,2.1895842783220294,4620.363911000707,18.550012067463825
6000.0,92.84,11.357570162671239,20.6569,2.527059361194351,5529.787683394213,23.338975287618844
7000.0,95.88,12.060082918454583,21.333299999999998,2.683368449356145,6455.09085238698,23.20071903822724
8000.0,98.06,11.29143037883155,21.818350000000002,2.5123432592900197,7389.425873002069,26.245375909226905
9000.0,99.14,13.837644308190612,22.05865,3.078875858572411,8323.601084618214,25.296076701360082
10000.0,100.9,10.656922632730332,22.45025,2.371165285782499,9243.47864423156,25.04880001839122
