E0,n_iter,sigma_n_iter,depth,sigma_depth,tot_ion,sigma_tot_ion
100.0,3.16,1.3836184445142383,124.21960000000001,54.39004105385471,85.29351086421975,6.07793714066193
200.0,3.97,1.1954497061775538,156.06070000000003,46.99312794983964,151.2208858653677,23.185019763119147
300.0,5.41,2.0400735280866713,212.6671,80.19529038908705,238.606644377751,27.840844238164436
400.0,6.92,2.1618510586994657,272.02520000000004,84.98236511747601,343.1260991981993,28.994793052957565
500.0,6.86,1.6794046564184584,269.6666,66.01739704380961,415.19701755052904,36.17013667299052
600.0,7.51,1.9209112420931898,295.2181,75.51102092668329,502.20066672724846,35.476094639845364
700.0,8.01,2.0024734704859384,314.8731,78.71723212480224,571.6301508797457,40.75723098078592
800.0,8.75,1.8131464364468746,343.96250000000003,71.27478641672664,676.6371271620369,44.593652091784506
900.0,9.3,2.224859546128699,365.583,87.45922875831917,738.819736252847,46.893432541053535
1000.0,9.7,2.022374841615669,381.307,79.49955502391195,836.1353190986988,46.70077573849131
