E0,n_iter,sigma_n_iter,depth,sigma_depth,tot_ion,sigma_tot_ion
100.0,9.05,2.0609463845524947,8.0545,1.8342422822517204,84.80095190560014,5.7281918956534685
200.0,11.49,2.1517202420389134,10.2261,1.915031015414633,172.40073444951148,8.344168579901345
300.0,13.55,2.43874967965144,12.059500000000002,2.1704872148897816,257.2496273225125,7.828294944489397
400.0,13.59,2.4003958006962103,12.0951,2.136352262619627,333.1259553627736,13.146507074614556
500.0,15.84,2.6142685401465546,14.0976,2.3266990007304336,431.60676062087157,12.892838819515946
600.0,15.87,2.629277467290206,14.1243,2.3400569458882834,511.4620454150876,11.575594215357379
700.0,16.16,2.4808063205337088,14.3824,2.207917625275001,582.1903774932118,15.30453622167017
800.0,17.07,2.7358910797032836,15.192300000000001,2.4349430609359226,670.0586845426868,19.573368344438425
900.0,17.32,2.4652788888886388,15.4148,2.1940982111108887,766.9754703984736,17.20952789557548
1000.0,18.76,2.486443242867209,16.6964,2.212934486151816,861.4220924906602,16.004272033049848
