E0,n_iter,sigma_n_iter,depth,sigma_depth,tot_ion,sigma_tot_ion
100.0,3.13,1.3240468269664787,123.0403,52.04828076805228,85.37983116748211,7.139203085462238
200.0,3.93,1.3210223313782399,154.4883,51.92938784647861,147.69837920505807,26.595235754462106
300.0,5.25,1.9563997546513852,206.3775,76.90607435534595,232.92257383445533,30.556974737794597
400.0,6.77,2.407716760750733,266.1287,94.64734586511132,345.9561534222696,30.82729530876888
500.0,7.33,1.709122581911549,288.14230000000003,67.185608694943,410.8655226519996,32.37377477690084
600.0,7.46,2.0900717691026784,293.25260000000003,82.1607212434263,500.53204495009146,35.41455088484281
700.0,7.89,1.5741346829290053,310.15590000000003,61.8792343859392,579.9441905945273,39.78763485633213
800.0,8.99,2.184010073236843,353.3969,85.85343597894031,674.4128634965623,48.22150918000156
900.0,9.07,2.0748734901193373,356.54170000000005,81.56327689659115,741.3722550204855,53.24143381837278
1000.0,9.34,2.1034257771549725,367.15540000000004,82.68566729996198,840.9230099924507,44.20789260585651
