E0,n_iter,sigma_n_iter,depth,sigma_depth,tot_ion,sigma_tot_ion
100.0,8.83,1.8604031821086524,7.8587,1.6557588320767007,84.00322409911327,5.993373451129211
200.0,11.33,1.929015292837255,10.0837,1.716823610625157,171.34346303961695,7.918563293309884
300.0,13.05,2.321098877687032,11.614500000000001,2.0657780011414584,256.3363404067484,8.032409029467681
400.0,14.27,2.3700421937172345,12.7003,2.1093375524083386,333.6650012793497,12.270123266049655
500.0,15.04,2.682983414037441,13.3856,2.3878552384933225,431.4213570761648,12.792523554674398
600.0,15.87,2.1244057992765883,14.1243,1.8907211613561636,510.25641001629367,12.051071932816827
700.0,16.42,2.136258411335108,14.613800000000001,1.901269986088246,583.0255553028976,15.325392745594574
800.0,16.9,2.2825424421026654,15.040999999999999,2.031462773471372,672.1823324843061,17.010286415810416
900.0,17.76,2.245528890929707,15.806400000000002,1.9985207129274394,767.802430658859,16.188983356047423
1000.0,18.75,2.5860201081971503,16.6875,2.301557896295464,863.6119350524822,19.154709934142744
